set#,sigma,alpha,kh,lambdaA,lambdaT,kt,n
869,3.0,2.0,4.0,4.0,0.01,1.3250000000000002,1.15
870,3.0,2.0,4.0,4.0,0.01,1.3250000000000002,1.5
871,3.0,2.0,4.0,4.0,0.01,2.5500000000000003,1.5
872,3.0,2.0,4.0,4.0,0.01,3.7750000000000004,1.5
873,3.0,3.0,0.25,1.0075,0.01,0.1,0.7999999999999999
874,3.0,3.0,0.25,1.0075,0.01,1.3250000000000002,1.5
875,3.0,3.0,0.25,2.005,0.01,0.1,0.7999999999999999
876,3.0,3.0,0.25,2.005,0.01,1.3250000000000002,1.15
877,3.0,3.0,0.25,2.005,0.01,1.3250000000000002,1.5
878,3.0,3.0,0.25,3.0025,0.01,0.1,0.7999999999999999
879,3.0,3.0,0.25,3.0025,0.01,1.3250000000000002,1.15
880,3.0,3.0,0.25,3.0025,0.01,1.3250000000000002,1.5
881,3.0,3.0,0.25,3.0025,0.01,2.5500000000000003,1.5
882,3.0,3.0,0.25,4.0,0.01,0.1,0.7999999999999999
883,3.0,3.0,0.25,4.0,0.01,1.3250000000000002,1.15
884,3.0,3.0,0.25,4.0,0.01,1.3250000000000002,1.5
885,3.0,3.0,0.25,4.0,0.01,2.5500000000000003,1.5
886,3.0,3.0,1.1875,0.01,0.01,0.1,1.15
887,3.0,3.0,1.1875,0.01,0.01,0.1,1.5
888,3.0,3.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
889,3.0,3.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
890,3.0,3.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
891,3.0,3.0,1.1875,1.0075,0.01,2.5500000000000003,1.5
892,3.0,3.0,1.1875,2.005,0.01,0.1,0.7999999999999999
893,3.0,3.0,1.1875,2.005,0.01,1.3250000000000002,1.15
894,3.0,3.0,1.1875,2.005,0.01,1.3250000000000002,1.5
895,3.0,3.0,1.1875,2.005,0.01,2.5500000000000003,1.5
896,3.0,3.0,1.1875,3.0025,0.01,0.1,0.44999999999999996
897,3.0,3.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
898,3.0,3.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
899,3.0,3.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
900,3.0,3.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
901,3.0,3.0,1.1875,4.0,0.01,0.1,0.44999999999999996
902,3.0,3.0,1.1875,4.0,0.01,0.1,0.7999999999999999
903,3.0,3.0,1.1875,4.0,0.01,1.3250000000000002,1.15
904,3.0,3.0,1.1875,4.0,0.01,1.3250000000000002,1.5
905,3.0,3.0,1.1875,4.0,0.01,2.5500000000000003,1.5
906,3.0,3.0,2.125,0.01,0.01,0.1,1.15
907,3.0,3.0,2.125,0.01,0.01,0.1,1.5
908,3.0,3.0,2.125,1.0075,0.01,0.1,0.7999999999999999
909,3.0,3.0,2.125,1.0075,0.01,1.3250000000000002,1.15
910,3.0,3.0,2.125,1.0075,0.01,1.3250000000000002,1.5
911,3.0,3.0,2.125,1.0075,0.01,2.5500000000000003,1.5
912,3.0,3.0,2.125,2.005,0.01,0.1,0.7999999999999999
913,3.0,3.0,2.125,2.005,0.01,1.3250000000000002,1.15
914,3.0,3.0,2.125,2.005,0.01,1.3250000000000002,1.5
915,3.0,3.0,2.125,2.005,0.01,2.5500000000000003,1.5
916,3.0,3.0,2.125,3.0025,0.01,0.1,0.44999999999999996
917,3.0,3.0,2.125,3.0025,0.01,0.1,0.7999999999999999
918,3.0,3.0,2.125,3.0025,0.01,1.3250000000000002,1.15
919,3.0,3.0,2.125,3.0025,0.01,1.3250000000000002,1.5
920,3.0,3.0,2.125,3.0025,0.01,2.5500000000000003,1.5
921,3.0,3.0,2.125,4.0,0.01,0.1,0.44999999999999996
922,3.0,3.0,2.125,4.0,0.01,0.1,0.7999999999999999
923,3.0,3.0,2.125,4.0,0.01,1.3250000000000002,1.15
924,3.0,3.0,2.125,4.0,0.01,1.3250000000000002,1.5
925,3.0,3.0,2.125,4.0,0.01,2.5500000000000003,1.5
926,3.0,3.0,3.0625,0.01,0.01,0.1,1.15
927,3.0,3.0,3.0625,0.01,0.01,0.1,1.5
928,3.0,3.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
929,3.0,3.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
930,3.0,3.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
931,3.0,3.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
932,3.0,3.0,3.0625,2.005,0.01,0.1,0.44999999999999996
933,3.0,3.0,3.0625,2.005,0.01,0.1,0.7999999999999999
934,3.0,3.0,3.0625,2.005,0.01,1.3250000000000002,1.15
935,3.0,3.0,3.0625,2.005,0.01,1.3250000000000002,1.5
936,3.0,3.0,3.0625,2.005,0.01,2.5500000000000003,1.5
937,3.0,3.0,3.0625,3.0025,0.01,0.1,0.44999999999999996
938,3.0,3.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
939,3.0,3.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
940,3.0,3.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
941,3.0,3.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
942,3.0,3.0,3.0625,4.0,0.01,0.1,0.44999999999999996
943,3.0,3.0,3.0625,4.0,0.01,0.1,0.7999999999999999
944,3.0,3.0,3.0625,4.0,0.01,1.3250000000000002,1.15
945,3.0,3.0,3.0625,4.0,0.01,1.3250000000000002,1.5
946,3.0,3.0,3.0625,4.0,0.01,2.5500000000000003,1.5
947,3.0,3.0,3.0625,4.0,0.01,3.7750000000000004,1.5
948,3.0,3.0,4.0,0.01,0.01,0.1,1.15
949,3.0,3.0,4.0,1.0075,0.01,0.1,0.7999999999999999
950,3.0,3.0,4.0,1.0075,0.01,1.3250000000000002,1.15
951,3.0,3.0,4.0,1.0075,0.01,1.3250000000000002,1.5
952,3.0,3.0,4.0,1.0075,0.01,2.5500000000000003,1.5
953,3.0,3.0,4.0,2.005,0.01,0.1,0.44999999999999996
954,3.0,3.0,4.0,2.005,0.01,0.1,0.7999999999999999
955,3.0,3.0,4.0,2.005,0.01,1.3250000000000002,1.15
956,3.0,3.0,4.0,2.005,0.01,1.3250000000000002,1.5
957,3.0,3.0,4.0,2.005,0.01,2.5500000000000003,1.5
958,3.0,3.0,4.0,3.0025,0.01,0.1,0.44999999999999996
959,3.0,3.0,4.0,3.0025,0.01,0.1,0.7999999999999999
960,3.0,3.0,4.0,3.0025,0.01,1.3250000000000002,1.15
961,3.0,3.0,4.0,3.0025,0.01,1.3250000000000002,1.5
962,3.0,3.0,4.0,3.0025,0.01,2.5500000000000003,1.5
963,3.0,3.0,4.0,4.0,0.01,0.1,0.44999999999999996
964,3.0,3.0,4.0,4.0,0.01,0.1,0.7999999999999999
965,3.0,3.0,4.0,4.0,0.01,1.3250000000000002,1.15
966,3.0,3.0,4.0,4.0,0.01,1.3250000000000002,1.5
967,3.0,3.0,4.0,4.0,0.01,2.5500000000000003,1.5
968,3.0,3.0,4.0,4.0,0.01,3.7750000000000004,1.5
969,3.0,4.0,0.25,1.0075,0.01,0.1,0.7999999999999999
970,3.0,4.0,0.25,1.0075,0.01,1.3250000000000002,1.5
971,3.0,4.0,0.25,2.005,0.01,0.1,0.7999999999999999
972,3.0,4.0,0.25,2.005,0.01,1.3250000000000002,1.15
973,3.0,4.0,0.25,2.005,0.01,1.3250000000000002,1.5
974,3.0,4.0,0.25,3.0025,0.01,0.1,0.7999999999999999
975,3.0,4.0,0.25,3.0025,0.01,1.3250000000000002,1.15
976,3.0,4.0,0.25,3.0025,0.01,1.3250000000000002,1.5
977,3.0,4.0,0.25,3.0025,0.01,2.5500000000000003,1.5
978,3.0,4.0,0.25,4.0,0.01,0.1,0.7999999999999999
979,3.0,4.0,0.25,4.0,0.01,1.3250000000000002,1.15
980,3.0,4.0,0.25,4.0,0.01,1.3250000000000002,1.5
981,3.0,4.0,0.25,4.0,0.01,2.5500000000000003,1.5
982,3.0,4.0,1.1875,0.01,0.01,0.1,1.15
983,3.0,4.0,1.1875,0.01,0.01,0.1,1.5
984,3.0,4.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
985,3.0,4.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
986,3.0,4.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
987,3.0,4.0,1.1875,1.0075,0.01,2.5500000000000003,1.5
988,3.0,4.0,1.1875,2.005,0.01,0.1,0.7999999999999999
989,3.0,4.0,1.1875,2.005,0.01,1.3250000000000002,1.15
990,3.0,4.0,1.1875,2.005,0.01,1.3250000000000002,1.5
991,3.0,4.0,1.1875,2.005,0.01,2.5500000000000003,1.5
992,3.0,4.0,1.1875,3.0025,0.01,0.1,0.44999999999999996
993,3.0,4.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
994,3.0,4.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
995,3.0,4.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
996,3.0,4.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
997,3.0,4.0,1.1875,4.0,0.01,0.1,0.44999999999999996
998,3.0,4.0,1.1875,4.0,0.01,0.1,0.7999999999999999
999,3.0,4.0,1.1875,4.0,0.01,1.3250000000000002,1.15
1000,3.0,4.0,1.1875,4.0,0.01,1.3250000000000002,1.5
1001,3.0,4.0,1.1875,4.0,0.01,2.5500000000000003,1.5
1002,3.0,4.0,2.125,0.01,0.01,0.1,1.15
1003,3.0,4.0,2.125,0.01,0.01,0.1,1.5
1004,3.0,4.0,2.125,1.0075,0.01,0.1,0.7999999999999999
1005,3.0,4.0,2.125,1.0075,0.01,1.3250000000000002,1.15
1006,3.0,4.0,2.125,1.0075,0.01,1.3250000000000002,1.5
1007,3.0,4.0,2.125,1.0075,0.01,2.5500000000000003,1.5
1008,3.0,4.0,2.125,2.005,0.01,0.1,0.7999999999999999
1009,3.0,4.0,2.125,2.005,0.01,1.3250000000000002,1.15
1010,3.0,4.0,2.125,2.005,0.01,1.3250000000000002,1.5
1011,3.0,4.0,2.125,2.005,0.01,2.5500000000000003,1.5
1012,3.0,4.0,2.125,3.0025,0.01,0.1,0.44999999999999996
1013,3.0,4.0,2.125,3.0025,0.01,0.1,0.7999999999999999
1014,3.0,4.0,2.125,3.0025,0.01,1.3250000000000002,1.15
1015,3.0,4.0,2.125,3.0025,0.01,1.3250000000000002,1.5
1016,3.0,4.0,2.125,3.0025,0.01,2.5500000000000003,1.5
1017,3.0,4.0,2.125,4.0,0.01,0.1,0.44999999999999996
1018,3.0,4.0,2.125,4.0,0.01,0.1,0.7999999999999999
1019,3.0,4.0,2.125,4.0,0.01,1.3250000000000002,1.15
1020,3.0,4.0,2.125,4.0,0.01,1.3250000000000002,1.5
1021,3.0,4.0,2.125,4.0,0.01,2.5500000000000003,1.5
1022,3.0,4.0,3.0625,0.01,0.01,0.1,1.15
1023,3.0,4.0,3.0625,0.01,0.01,0.1,1.5
1024,3.0,4.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
1025,3.0,4.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
1026,3.0,4.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
1027,3.0,4.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
1028,3.0,4.0,3.0625,2.005,0.01,0.1,0.44999999999999996
1029,3.0,4.0,3.0625,2.005,0.01,0.1,0.7999999999999999
1030,3.0,4.0,3.0625,2.005,0.01,1.3250000000000002,1.15
1031,3.0,4.0,3.0625,2.005,0.01,1.3250000000000002,1.5
1032,3.0,4.0,3.0625,2.005,0.01,2.5500000000000003,1.5
1033,3.0,4.0,3.0625,3.0025,0.01,0.1,0.44999999999999996
1034,3.0,4.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
1035,3.0,4.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
1036,3.0,4.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
1037,3.0,4.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
1038,3.0,4.0,3.0625,4.0,0.01,0.1,0.44999999999999996
1039,3.0,4.0,3.0625,4.0,0.01,0.1,0.7999999999999999
1040,3.0,4.0,3.0625,4.0,0.01,1.3250000000000002,1.15
1041,3.0,4.0,3.0625,4.0,0.01,1.3250000000000002,1.5
1042,3.0,4.0,3.0625,4.0,0.01,2.5500000000000003,1.5
1043,3.0,4.0,3.0625,4.0,0.01,3.7750000000000004,1.5
1044,3.0,4.0,4.0,0.01,0.01,0.1,1.15
1045,3.0,4.0,4.0,1.0075,0.01,0.1,0.7999999999999999
1046,3.0,4.0,4.0,1.0075,0.01,1.3250000000000002,1.15
1047,3.0,4.0,4.0,1.0075,0.01,1.3250000000000002,1.5
1048,3.0,4.0,4.0,1.0075,0.01,2.5500000000000003,1.5
1049,3.0,4.0,4.0,2.005,0.01,0.1,0.44999999999999996
1050,3.0,4.0,4.0,2.005,0.01,0.1,0.7999999999999999
1051,3.0,4.0,4.0,2.005,0.01,1.3250000000000002,1.15
1052,3.0,4.0,4.0,2.005,0.01,1.3250000000000002,1.5
1053,3.0,4.0,4.0,2.005,0.01,2.5500000000000003,1.5
1054,3.0,4.0,4.0,3.0025,0.01,0.1,0.44999999999999996
1055,3.0,4.0,4.0,3.0025,0.01,0.1,0.7999999999999999
1056,3.0,4.0,4.0,3.0025,0.01,1.3250000000000002,1.15
1057,3.0,4.0,4.0,3.0025,0.01,1.3250000000000002,1.5
1058,3.0,4.0,4.0,3.0025,0.01,2.5500000000000003,1.5
1059,3.0,4.0,4.0,4.0,0.01,0.1,0.44999999999999996
1060,3.0,4.0,4.0,4.0,0.01,0.1,0.7999999999999999
1061,3.0,4.0,4.0,4.0,0.01,1.3250000000000002,1.15
1062,3.0,4.0,4.0,4.0,0.01,1.3250000000000002,1.5
1063,3.0,4.0,4.0,4.0,0.01,2.5500000000000003,1.5
1064,3.0,4.0,4.0,4.0,0.01,3.7750000000000004,1.5
1065,3.0,5.0,0.25,1.0075,0.01,0.1,0.7999999999999999
1066,3.0,5.0,0.25,1.0075,0.01,1.3250000000000002,1.5
1067,3.0,5.0,0.25,2.005,0.01,0.1,0.7999999999999999
1068,3.0,5.0,0.25,2.005,0.01,1.3250000000000002,1.15
1069,3.0,5.0,0.25,2.005,0.01,1.3250000000000002,1.5
1070,3.0,5.0,0.25,3.0025,0.01,0.1,0.7999999999999999
1071,3.0,5.0,0.25,3.0025,0.01,1.3250000000000002,1.15
1072,3.0,5.0,0.25,3.0025,0.01,1.3250000000000002,1.5
1073,3.0,5.0,0.25,3.0025,0.01,2.5500000000000003,1.5
1074,3.0,5.0,0.25,4.0,0.01,0.1,0.7999999999999999
1075,3.0,5.0,0.25,4.0,0.01,1.3250000000000002,1.15
1076,3.0,5.0,0.25,4.0,0.01,1.3250000000000002,1.5
1077,3.0,5.0,0.25,4.0,0.01,2.5500000000000003,1.5
1078,3.0,5.0,1.1875,0.01,0.01,0.1,1.15
1079,3.0,5.0,1.1875,0.01,0.01,0.1,1.5
1080,3.0,5.0,1.1875,1.0075,0.01,0.1,0.7999999999999999
1081,3.0,5.0,1.1875,1.0075,0.01,1.3250000000000002,1.15
1082,3.0,5.0,1.1875,1.0075,0.01,1.3250000000000002,1.5
1083,3.0,5.0,1.1875,1.0075,0.01,2.5500000000000003,1.5
1084,3.0,5.0,1.1875,2.005,0.01,0.1,0.7999999999999999
1085,3.0,5.0,1.1875,2.005,0.01,1.3250000000000002,1.15
1086,3.0,5.0,1.1875,2.005,0.01,1.3250000000000002,1.5
1087,3.0,5.0,1.1875,2.005,0.01,2.5500000000000003,1.5
1088,3.0,5.0,1.1875,3.0025,0.01,0.1,0.44999999999999996
1089,3.0,5.0,1.1875,3.0025,0.01,0.1,0.7999999999999999
1090,3.0,5.0,1.1875,3.0025,0.01,1.3250000000000002,1.15
1091,3.0,5.0,1.1875,3.0025,0.01,1.3250000000000002,1.5
1092,3.0,5.0,1.1875,3.0025,0.01,2.5500000000000003,1.5
1093,3.0,5.0,1.1875,4.0,0.01,0.1,0.44999999999999996
1094,3.0,5.0,1.1875,4.0,0.01,0.1,0.7999999999999999
1095,3.0,5.0,1.1875,4.0,0.01,1.3250000000000002,1.15
1096,3.0,5.0,1.1875,4.0,0.01,1.3250000000000002,1.5
1097,3.0,5.0,1.1875,4.0,0.01,2.5500000000000003,1.5
1098,3.0,5.0,2.125,0.01,0.01,0.1,1.15
1099,3.0,5.0,2.125,0.01,0.01,0.1,1.5
1100,3.0,5.0,2.125,1.0075,0.01,0.1,0.7999999999999999
1101,3.0,5.0,2.125,1.0075,0.01,1.3250000000000002,1.15
1102,3.0,5.0,2.125,1.0075,0.01,1.3250000000000002,1.5
1103,3.0,5.0,2.125,1.0075,0.01,2.5500000000000003,1.5
1104,3.0,5.0,2.125,2.005,0.01,0.1,0.7999999999999999
1105,3.0,5.0,2.125,2.005,0.01,1.3250000000000002,1.15
1106,3.0,5.0,2.125,2.005,0.01,1.3250000000000002,1.5
1107,3.0,5.0,2.125,2.005,0.01,2.5500000000000003,1.5
1108,3.0,5.0,2.125,3.0025,0.01,0.1,0.44999999999999996
1109,3.0,5.0,2.125,3.0025,0.01,0.1,0.7999999999999999
1110,3.0,5.0,2.125,3.0025,0.01,1.3250000000000002,1.15
1111,3.0,5.0,2.125,3.0025,0.01,1.3250000000000002,1.5
1112,3.0,5.0,2.125,3.0025,0.01,2.5500000000000003,1.5
1113,3.0,5.0,2.125,4.0,0.01,0.1,0.44999999999999996
1114,3.0,5.0,2.125,4.0,0.01,0.1,0.7999999999999999
1115,3.0,5.0,2.125,4.0,0.01,1.3250000000000002,1.15
1116,3.0,5.0,2.125,4.0,0.01,1.3250000000000002,1.5
1117,3.0,5.0,2.125,4.0,0.01,2.5500000000000003,1.5
1118,3.0,5.0,3.0625,0.01,0.01,0.1,1.15
1119,3.0,5.0,3.0625,0.01,0.01,0.1,1.5
1120,3.0,5.0,3.0625,1.0075,0.01,0.1,0.7999999999999999
1121,3.0,5.0,3.0625,1.0075,0.01,1.3250000000000002,1.15
1122,3.0,5.0,3.0625,1.0075,0.01,1.3250000000000002,1.5
1123,3.0,5.0,3.0625,1.0075,0.01,2.5500000000000003,1.5
1124,3.0,5.0,3.0625,2.005,0.01,0.1,0.44999999999999996
1125,3.0,5.0,3.0625,2.005,0.01,0.1,0.7999999999999999
1126,3.0,5.0,3.0625,2.005,0.01,1.3250000000000002,1.15
1127,3.0,5.0,3.0625,2.005,0.01,1.3250000000000002,1.5
1128,3.0,5.0,3.0625,2.005,0.01,2.5500000000000003,1.5
1129,3.0,5.0,3.0625,3.0025,0.01,0.1,0.44999999999999996
1130,3.0,5.0,3.0625,3.0025,0.01,0.1,0.7999999999999999
1131,3.0,5.0,3.0625,3.0025,0.01,1.3250000000000002,1.15
1132,3.0,5.0,3.0625,3.0025,0.01,1.3250000000000002,1.5
1133,3.0,5.0,3.0625,3.0025,0.01,2.5500000000000003,1.5
1134,3.0,5.0,3.0625,4.0,0.01,0.1,0.44999999999999996
1135,3.0,5.0,3.0625,4.0,0.01,0.1,0.7999999999999999
1136,3.0,5.0,3.0625,4.0,0.01,1.3250000000000002,1.15
1137,3.0,5.0,3.0625,4.0,0.01,1.3250000000000002,1.5
1138,3.0,5.0,3.0625,4.0,0.01,2.5500000000000003,1.5
1139,3.0,5.0,3.0625,4.0,0.01,3.7750000000000004,1.5
1140,3.0,5.0,4.0,0.01,0.01,0.1,1.15
1141,3.0,5.0,4.0,1.0075,0.01,0.1,0.7999999999999999
1142,3.0,5.0,4.0,1.0075,0.01,1.3250000000000002,1.15
1143,3.0,5.0,4.0,1.0075,0.01,1.3250000000000002,1.5
1144,3.0,5.0,4.0,1.0075,0.01,2.5500000000000003,1.5
1145,3.0,5.0,4.0,2.005,0.01,0.1,0.44999999999999996
1146,3.0,5.0,4.0,2.005,0.01,0.1,0.7999999999999999
1147,3.0,5.0,4.0,2.005,0.01,1.3250000000000002,1.15
1148,3.0,5.0,4.0,2.005,0.01,1.3250000000000002,1.5
1149,3.0,5.0,4.0,2.005,0.01,2.5500000000000003,1.5
1150,3.0,5.0,4.0,3.0025,0.01,0.1,0.44999999999999996
1151,3.0,5.0,4.0,3.0025,0.01,0.1,0.7999999999999999
1152,3.0,5.0,4.0,3.0025,0.01,1.3250000000000002,1.15
1153,3.0,5.0,4.0,3.0025,0.01,1.3250000000000002,1.5
1154,3.0,5.0,4.0,3.0025,0.01,2.5500000000000003,1.5
1155,3.0,5.0,4.0,4.0,0.01,0.1,0.44999999999999996
1156,3.0,5.0,4.0,4.0,0.01,0.1,0.7999999999999999
1157,3.0,5.0,4.0,4.0,0.01,1.3250000000000002,1.15
1158,3.0,5.0,4.0,4.0,0.01,1.3250000000000002,1.5
1159,3.0,5.0,4.0,4.0,0.01,2.5500000000000003,1.5
1160,3.0,5.0,4.0,4.0,0.01,3.7750000000000004,1.5
