"id"	"type"	"modified_forms"	"gene_set"	"monomer_set"
"RRFA-RRNA"	"rRNA"	[]	["EG30070"]	[]
"RRFB-RRNA"	"rRNA"	[]	["EG30071"]	[]
"RRFC-RRNA"	"rRNA"	[]	["EG30072"]	[]
"RRFD-RRNA"	"rRNA"	[]	["EG30073"]	[]
"RRFE-RRNA"	"rRNA"	[]	["EG30074"]	[]
"RRFF-RRNA"	"rRNA"	[]	["EG30091"]	[]
"RRFG-RRNA"	"rRNA"	[]	["EG30075"]	[]
"RRFH-RRNA"	"rRNA"	[]	["EG30076"]	[]
"RRLA-RRNA"	"rRNA"	[]	["EG30077"]	[]
"RRLB-RRNA"	"rRNA"	[]	["EG30078"]	[]
"RRLC-RRNA"	"rRNA"	[]	["EG30079"]	[]
"RRLD-RRNA"	"rRNA"	[]	["EG30080"]	[]
"RRLE-RRNA"	"rRNA"	[]	["EG30081"]	[]
"RRLG-RRNA"	"rRNA"	[]	["EG30082"]	[]
"RRLH-RRNA"	"rRNA"	[]	["EG30083"]	[]
"RRSA-RRNA"	"rRNA"	[]	["EG30084"]	[]
"RRSB-RRNA"	"rRNA"	[]	["EG30085"]	[]
"RRSC-RRNA"	"rRNA"	[]	["EG30086"]	[]
"RRSD-RRNA"	"rRNA"	[]	["EG30087"]	[]
"RRSE-RRNA"	"rRNA"	[]	["EG30088"]	[]
"RRSG-RRNA"	"rRNA"	[]	["EG30089"]	[]
"RRSH-RRNA"	"rRNA"	[]	["EG30090"]	[]
"RYBA-RNA"	"miscRNA"	[]	["G0-8881"]	[]
"RYBB-RNA"	"miscRNA"	[]	["G0-8880"]	[]
"RYDB-RNA"	"miscRNA"	[]	["G0-8876"]	[]
"RYEA-RNA"	"miscRNA"	[]	["G0-8865"]	[]
"RYEB-RNA"	"miscRNA"	[]	["G0-8883"]	[]
"RYEC-RNA"	"miscRNA"	[]	["G0-8884"]	[]
"RYED-RNA"	"miscRNA"	[]	["G0-8885"]	[]
"RYEE-RNA"	"miscRNA"	[]	["G0-8878"]	[]
"RYFA-RNA"	"miscRNA"	[]	["G0-8879"]	[]
"RYGB-RNA"	"miscRNA"	[]	["G0-8882"]	[]
"RYGC-RNA"	"miscRNA"	[]	["G0-8886"]	[]
"SPF-RNA"	"miscRNA"	[]	["EG30098"]	[]
"SRAA-RNA"	"miscRNA"	[]	["G0-8861"]	[]
"SRAB-RNA"	"miscRNA"	[]	["G0-8862"]	[]
"SRAD-RNA"	"miscRNA"	[]	["G0-8866"]	[]
"SRAE-RNA"	"miscRNA"	[]	["G0-8868"]	[]
"SRAG-RNA"	"miscRNA"	[]	["G0-8870"]	[]
"SRAH-RNA"	"miscRNA"	[]	["G0-8871"]	[]
"SRAI-RNA"	"miscRNA"	[]	["G0-8872"]	[]
"SRAJ-RNA"	"miscRNA"	[]	["G0-8873"]	[]
"SRAL-RNA"	"miscRNA"	[]	["G0-8875"]	[]
"SSRA-RNA"	"miscRNA"	[]	["EG30100"]	[]
"T44-RNA"	"miscRNA"	[]	["G0-8895"]	[]
"TKE1-RNA"	"miscRNA"	[]	["G0-8910"]	[]
"TKE8-RNA"	"miscRNA"	[]	["G0-8901"]	[]
"TP2-RNA"	"miscRNA"	[]	["G0-8894"]	[]
"TPKE11-RNA"	"miscRNA"	[]	["G0-8893"]	[]
"TPKE70-RNA"	"miscRNA"	[]	["G0-8906"]	[]
"alaT-tRNA"	"tRNA"	["charged-alaT-tRNA"]	["EG30008"]	[]
"alaU-tRNA"	"tRNA"	["charged-alaU-tRNA"]	["EG30009"]	[]
"alaV-tRNA"	"tRNA"	["charged-alaV-tRNA"]	["EG30010"]	[]
"alaW-tRNA"	"tRNA"	["charged-alaW-tRNA"]	["EG30011"]	[]
"alaX-tRNA"	"tRNA"	["charged-alaX-tRNA"]	["EG30012"]	[]
"argQ-tRNA"	"tRNA"	["charged-argQ-tRNA"]	["EG30013"]	[]
"argU-tRNA"	"tRNA"	["charged-argU-tRNA"]	["EG30014"]	[]
"argV-tRNA"	"tRNA"	["charged-argV-tRNA"]	["EG30015"]	[]
"argW-tRNA"	"tRNA"	["charged-argW-tRNA"]	["EG30016"]	[]
"argX-tRNA"	"tRNA"	["charged-argX-tRNA"]	["EG30017"]	[]
"argY-tRNA"	"tRNA"	["charged-argY-tRNA"]	["EG30018"]	[]
"argZ-tRNA"	"tRNA"	["charged-argZ-tRNA"]	["EG30019"]	[]
"asnT-tRNA"	"tRNA"	["charged-asnT-tRNA"]	["EG30020"]	[]
"asnU-tRNA"	"tRNA"	["charged-asnU-tRNA"]	["EG30021"]	[]
"asnV-tRNA"	"tRNA"	["charged-asnV-tRNA"]	["EG30022"]	[]
"aspT-tRNA"	"tRNA"	["charged-aspT-tRNA"]	["EG30023"]	[]
"aspU-tRNA"	"tRNA"	["charged-aspU-tRNA"]	["EG30024"]	[]
"aspV-tRNA"	"tRNA"	["charged-aspV-tRNA"]	["EG30025"]	[]
"cysT-tRNA"	"tRNA"	["charged-cysT-tRNA"]	["G7991"]	[]
"glnU-tRNA"	"tRNA"	["charged-glnU-tRNA"]	["EG30028"]	[]
"glnV-tRNA"	"tRNA"	["charged-glnV-tRNA"]	["EG30029"]	[]
"glnW-tRNA"	"tRNA"	["charged-glnW-tRNA"]	["EG30030"]	[]
"glnX-tRNA"	"tRNA"	["charged-glnX-tRNA"]	["EG30031"]	[]
"gltT-tRNA"	"tRNA"	["charged-gltT-tRNA"]	["EG30032"]	[]
"gltU-tRNA"	"tRNA"	["charged-gltU-tRNA"]	["EG30033"]	[]
"gltV-tRNA"	"tRNA"	["charged-gltV-tRNA"]	["EG30034"]	[]
"gltW-tRNA"	"tRNA"	["charged-gltW-tRNA"]	["EG30035"]	[]
"glyT-tRNA"	"tRNA"	["charged-glyT-tRNA"]	["EG30036"]	[]
"glyU-tRNA"	"tRNA"	["charged-glyU-tRNA"]	["EG30037"]	[]
"glyV-tRNA"	"tRNA"	["charged-glyV-tRNA"]	["EG30038"]	[]
"glyW-tRNA"	"tRNA"	["charged-glyW-tRNA"]	["EG30039"]	[]
"glyX-tRNA"	"tRNA"	["charged-glyX-tRNA"]	["EG30040"]	[]
"glyY-tRNA"	"tRNA"	["charged-glyY-tRNA"]	["EG30041"]	[]
"hisR-tRNA"	"tRNA"	["charged-hisR-tRNA"]	["EG30042"]	[]
"ileT-tRNA"	"tRNA"	["charged-ileT-tRNA"]	["EG30043"]	[]
"ileU-tRNA"	"tRNA"	["charged-ileU-tRNA"]	["EG30044"]	[]
"ileV-tRNA"	"tRNA"	["charged-ileV-tRNA"]	["EG30045"]	[]
"ileX-tRNA"	"tRNA"	["charged-ileX-tRNA"]	["EG30046"]	[]
"leuP-tRNA"	"tRNA"	["charged-leuP-tRNA"]	["EG30047"]	[]
"leuQ-tRNA"	"tRNA"	["charged-leuQ-tRNA"]	["EG30048"]	[]
"leuT-tRNA"	"tRNA"	["charged-leuT-tRNA"]	["EG30049"]	[]
"leuU-tRNA"	"tRNA"	["charged-leuU-tRNA"]	["EG30050"]	[]
"leuV-tRNA"	"tRNA"	["charged-leuV-tRNA"]	["EG30051"]	[]
"leuW-tRNA"	"tRNA"	["charged-leuW-tRNA"]	["EG30052"]	[]
"leuX-tRNA"	"tRNA"	["charged-leuX-tRNA"]	["EG30053"]	[]
"leuZ-tRNA"	"tRNA"	["charged-leuZ-tRNA"]	["EG30054"]	[]
"lysT-tRNA"	"tRNA"	["charged-lysT-tRNA"]	["EG30055"]	[]
"lysV-tRNA"	"tRNA"	["charged-lysV-tRNA"]	["EG30056"]	[]
"lysW-tRNA"	"tRNA"	["charged-lysW-tRNA"]	["EG30057"]	[]
"metT-tRNA"	"tRNA"	["charged-metT-tRNA"]	["EG30058"]	[]
"metU-tRNA"	"tRNA"	["charged-metU-tRNA"]	["EG30059"]	[]
"metW-tRNA"	"tRNA"	["CHARGED-FMETW-TRNA", "RNA0-319"]	["EG31117"]	[]
"metY-tRNA"	"tRNA"	["CHARGED-FMETY-TRNA", "RNA0-322"]	["EG30061"]	[]
"metZ-tRNA"	"tRNA"	["CHARGED-FMETZ-TRNA", "RNA0-323"]	["EG30062"]	[]
"pheU-tRNA"	"tRNA"	["charged-pheU-tRNA"]	["EG30064"]	[]
"pheV-tRNA"	"tRNA"	["charged-pheV-tRNA"]	["EG30065"]	[]
"proK-tRNA"	"tRNA"	["charged-proK-tRNA"]	["EG30066"]	[]
"proL-tRNA"	"tRNA"	["charged-proL-tRNA"]	["EG30067"]	[]
"proM-tRNA"	"tRNA"	["charged-proM-tRNA"]	["EG30068"]	[]
"selC-tRNA"	"tRNA"	["charged-selC-tRNA", "modified-charged-selC-tRNA"]	["EG30092"]	[]
"serT-tRNA"	"tRNA"	["charged-serT-tRNA"]	["EG30093"]	[]
"serU-tRNA"	"tRNA"	["charged-serU-tRNA"]	["EG30094"]	[]
"serV-tRNA"	"tRNA"	["charged-serV-tRNA"]	["EG30095"]	[]
"serW-tRNA"	"tRNA"	["charged-serW-tRNA"]	["EG30096"]	[]
"serX-tRNA"	"tRNA"	["charged-serX-tRNA"]	["EG30097"]	[]
"thrT-tRNA"	"tRNA"	["charged-thrT-tRNA"]	["EG30101"]	[]
"thrU-tRNA"	"tRNA"	["charged-thrU-tRNA"]	["EG30102"]	[]
"thrV-tRNA"	"tRNA"	["charged-thrV-tRNA"]	["EG30103"]	[]
"thrW-tRNA"	"tRNA"	["charged-thrW-tRNA"]	["EG30104"]	[]
"trpT-tRNA"	"tRNA"	["charged-trpT-tRNA"]	["EG30105"]	[]
"tyrT-tRNA"	"tRNA"	["charged-tyrT-tRNA"]	["EG30106"]	[]
"tyrU-tRNA"	"tRNA"	["charged-tyrU-tRNA"]	["EG30107"]	[]
"tyrV-tRNA"	"tRNA"	["charged-tyrV-tRNA"]	["EG30108"]	[]
"valT-tRNA"	"tRNA"	["charged-valT-tRNA"]	["EG30109"]	[]
"valU-tRNA"	"tRNA"	["charged-valU-tRNA"]	["EG30110"]	[]
"valV-tRNA"	"tRNA"	["charged-valV-tRNA"]	["EG30111"]	[]
"valW-tRNA"	"tRNA"	["charged-valW-tRNA"]	["EG30112"]	[]
"valX-tRNA"	"tRNA"	["charged-valX-tRNA"]	["EG30113"]	[]
"valY-tRNA"	"tRNA"	["charged-valY-tRNA"]	["EG30114"]	[]
